appraisal_d	t_stat	p_value
suddenness	0.4747206484043988	0.6350293268424075
familiarity	0.38876931279511073	0.6974813182404771
event	0.697517298729414	0.4855467376142647
pleasantness	0.4854117767112494	0.6274286241841923
unpleasantness	-0.18073610199365955	0.8565899929329832
relevance	0.8517016187004872	0.39446476708331535
responsblt	0.2358648502601965	0.8135442547220162
conseq	0.8457203580282852	0.39775093693202224
support	0.6329463728431945	0.5268290157416753
urgency	1.2396144077997862	0.21523934610322218
control	1.1377885986016265	0.2552466375922191
standards	0.660783705616411	0.5088145070008057
norms	0.11724323188304392	0.9066771274302519
attention	-0.018513671358608482	0.9852306114613036
consider	0.6398689675300633	0.522318916503465
effort	0.563652371072704	0.5730434414394927
