appraisal_d	t_stat	p_value
suddenness	-0.48790087990558334	0.625664655937654
familiarity	0.08425197400248269	0.9328631284124034
event	0.40924435380514557	0.6823968961875544
pleasantness	0.03381964754407746	0.9730237830885249
unpleasantness	-0.4089018973418308	0.6826481708321899
relevance	0.15675525998573242	0.8754509300274134
responsblt	-0.29246703895429554	0.7699379874207315
conseq	-0.2616942563381019	0.7935684021249332
support	1.1038481778026479	0.2697697555814033
urgency	-0.14521067680842925	0.8845567400685023
control	0.3853856177941701	0.6999631244821982
standards	-0.07312872020234815	0.9417097863174755
norms	-0.12433506920411612	0.9010604024618791
attention	-0.4148286179973168	0.6783044758453591
consider	0.1822105041339996	0.8554329311433718
effort	-0.4463875862198383	0.6553576035072615
